번호,신고일,구정보,주소,유형,조치일,경도,위도
10,2025.1.2,강북구,서울특별시 강북구 우이동 5-10,횡단보도 주변(3m),2025.1.2,127.0089505,37.6575291
11,2025.1.2,강북구,서울특별시 강북구 우이동 8-14,횡단보도 주변(3m),2025.1.2,127.0089505,37.6575291
48,2025.1.2,노원구,서울특별시 노원구 중계동 503,보호구역(어린이·노인·장애인),2025.1.2,127.07678,37.64802
64,2025.1.2,노원구,서울특별시 노원구 중계동 361-3,보호구역(어린이·노인·장애인),2025.1.2,127.07678,37.64802
66,2025.1.2,노원구,서울특별시 노원구 중계동 361-3,횡단보도 주변(3m),2025.1.2,127.07678,37.64802
68,2025.1.2,노원구,서울특별시 노원구 중계동 370,보도와 차도가 구분된 도로의 차도,2025.1.2,127.07678,37.64802
70,2025.1.2,노원구,서울특별시 노원구 중계동 370,횡단보도 주변(3m),2025.1.2,127.07678,37.64802
72,2025.1.2,노원구,서울특별시 노원구 중계동 503-1,횡단보도 주변(3m),2025.1.2,127.07678,37.64802
331,2025.1.3,노원구,서울특별시 노원구 상계동 727-2,점자블록 또는 교통약자 엘리베이터,2025.1.3,127.07242,37.66727
342,2025.1.3,노원구,서울특별시 노원구 상계동 769-1,횡단보도 주변(3m),2025.1.3,127.07242,37.66727
346,2025.1.3,노원구,서울특별시 노원구 중계동 364-16,보도와 차도가 구분된 도로의 차도,2025.1.3,127.07678,37.64802
347,2025.1.3,노원구,서울특별시 노원구 중계동 423-57,보도와 차도가 구분된 도로의 차도,2025.1.3,127.07678,37.64802
351,2025.1.3,노원구,서울특별시 노원구 중계동 514-6,횡단보도 주변(3m),2025.1.3,127.07678,37.64802
352,2025.1.3,노원구,서울특별시 노원구 중계동 359-1,보도와 차도가 구분된 도로의 차도,2025.1.3,127.07678,37.64802
369,2025.1.3,노원구,서울특별시 노원구 하계동 256-7,보도와 차도가 구분된 도로의 차도,2025.1.3,127.07251,37.63793
371,2025.1.3,노원구,서울특별시 노원구 하계동 256-7,보도와 차도가 구분된 도로의 차도,2025.1.3,127.07251,37.63793
521,2025.1.3,성북구,서울특별시 성북구 석관동 168-22,횡단보도 주변(3m),2025.1.3,127.06116,37.60789
598,2025.1.6,노원구,서울특별시 노원구 중계동 500-1,지하철역 전면(5m이내),2025.1.6,127.07678,37.64802
608,2025.1.6,노원구,서울특별시 노원구 하계동 274-4,횡단보도 주변(3m),2025.1.6,127.07251,37.63793
609,2025.1.6,노원구,서울특별시 노원구 하계동 274-4,횡단보도 주변(3m),2025.1.6,127.07251,37.63793
611,2025.1.6,노원구,서울특별시 노원구 하계동 78,보도와 차도가 구분된 도로의 차도,2025.1.6,127.07251,37.63793
613,2025.1.6,노원구,서울특별시 노원구 중계동 366-3,횡단보도 주변(3m),2025.1.6,127.07678,37.64802
614,2025.1.6,노원구,서울특별시 노원구 중계동 391-1,횡단보도 주변(3m),2025.1.6,127.07678,37.64802
616,2025.1.6,노원구,서울특별시 노원구 중계동 366-3,점자블록 또는 교통약자 엘리베이터,2025.1.6,127.07678,37.64802
617,2025.1.6,노원구,서울특별시 노원구 중계동 588,보도와 차도가 구분된 도로의 차도,2025.1.6,127.07678,37.64802
854,2025.1.7,노원구,서울특별시 노원구 상계동 748,횡단보도 주변(3m),2025.1.7,127.07242,37.66727
857,2025.1.7,노원구,서울특별시 노원구 상계동 744,보호구역(어린이·노인·장애인),2025.1.7,127.07242,37.66727
863,2025.1.7,노원구,서울특별시 노원구 상계동 744,버스정류소 및 택시승강장 주변(5m 이내),2025.1.7,127.07242,37.66727
865,2025.1.7,노원구,서울특별시 노원구 중계동 503-1,버스정류소 및 택시승강장 주변(5m 이내),2025.1.7,127.07678,37.64802
871,2025.1.7,노원구,서울특별시 노원구 중계동 509-3,횡단보도 주변(3m),2025.1.7,127.07678,37.64802
873,2025.1.7,노원구,서울특별시 노원구 상계동 173-26,횡단보도 주변(3m),2025.1.7,127.07242,37.66727
874,2025.1.7,노원구,서울특별시 노원구 상계동 173,횡단보도 주변(3m),2025.1.7,127.07242,37.66727
885,2025.1.7,노원구,서울특별시 노원구 상계동 159-4,버스정류소 및 택시승강장 주변(5m 이내),2025.1.7,127.07242,37.66727
